k,H,alpha,eta
9.211040823055995919e-01,2.838324678581298777e+00,3.115768414098329941e-01,1.058408069668678309e+01
3.234780345358866160e+00,3.113508580157899441e+00,6.815110821426362264e-01,9.917500530852006335e+00
1.931955867884519451e+00,1.195712345699334378e+00,2.491837005179384779e-01,8.678696019995117084e+00
3.514727078832957652e+00,4.081380100973129865e-01,1.694368158061696050e+00,4.603388681581369823e+00
4.728956642814550193e+00,2.211124215205260146e+00,8.374206315229111297e-01,1.199598034145103043e+01
4.530667072666291872e+00,1.509447799833721238e+00,1.004039952648790646e+00,4.699708831904394479e+00
4.983523798867820709e+00,1.529629228458819101e+00,1.917136553585927272e+00,5.110678047444744410e-01
1.728900757454236325e+00,9.966696487666297788e-01,2.172004033929670896e-01,9.536319877176585580e-01
1.027101852221301126e+00,3.636776832175590890e+00,1.242610966718465049e+00,1.189370908856044373e+01
2.367326456315907102e+00,2.263321718113260772e+00,6.331405372355034533e-01,3.870825208754019586e-01
2.277094404074523570e+00,4.166026169816476887e+00,1.233550334689168304e+00,1.316822125167369784e+01
4.257973269181515086e+00,4.475524618238474694e+00,7.217382633307789508e-01,1.446288295286849568e+01
3.282814194701514587e+00,2.243465873498217800e+00,5.843583010637409814e-01,4.634682481905135987e+00
6.449868104459546281e-01,2.482299224706575824e+00,8.808710823127396949e-03,1.188399768806534063e+01
4.126427655874199019e+00,3.148598513603191318e+00,8.097884259891636738e-01,9.138845725800578634e+00
4.279822810354371398e+00,4.042430731000807853e+00,1.817108287865270011e+00,5.019456348945339208e+00
2.602925371943202393e+00,4.443556819309574024e+00,8.632209491016433756e-01,7.377614700118662938e+00
1.894389203711427605e+00,9.122674633680672995e-01,1.697304732759805868e+00,1.386267275591899661e+01
3.786243826490551800e+00,1.502250547974991468e+00,7.034552060827259368e-04,1.248133225652648193e+01
2.618645678885103134e+00,2.967953171006777247e+00,8.507944457327403232e-01,8.942964892331556115e+00
1.625030226514714959e+00,1.441475735336084307e+00,1.640840469540413515e+00,2.919609946449571058e+00
1.264711274532569707e+00,1.156818617377604053e+00,6.656293593548563425e-01,1.281497557800557985e+01
4.874401111235497908e+00,3.269265400973154101e+00,4.289618312521763510e-01,1.674548050144227140e+00
4.819242938334389770e+00,4.974614756786007064e+00,1.418617688201705640e+00,1.235497914787207385e+01
4.549694228092941550e+00,7.840316397193409781e-01,3.404118475876849459e-02,1.134073391958787091e+00
8.159666795063534872e-01,3.261788400284032718e+00,2.139354971881799461e-01,7.230068946753020143e+00
2.662350803265705945e+00,1.815367006696451568e+00,1.350404860877211677e+00,1.818685357077526321e+00
2.348195510981862633e+00,2.520168066448368327e-01,4.047964594889286172e-01,7.647544846098904614e+00
8.843909251836564733e-01,3.792144632155820538e+00,1.697030997085565041e+00,3.127884174473436918e+00
2.908613931155374477e+00,1.211321969562268341e+00,1.736916379608959282e+00,6.258509619866875262e+00
3.810103789355009596e+00,3.502798170793955723e+00,6.546577822931030077e-01,1.075833914386137913e+01
3.350666551930823633e+00,1.806940082053560548e-01,1.513213097044914690e+00,7.383216896139245478e+00
4.530293915497160206e+00,1.317582262543521843e+00,3.318464183893701236e-01,4.179275740588559884e+00
6.731624383234239284e-01,3.072878934425330666e+00,1.821691718533098969e+00,7.005661353347815812e+00
2.782855933751981148e+00,1.719591115455143981e+00,6.795400079637601287e-01,1.053883595378448135e+01
2.600434867563644836e+00,4.364697248549752828e+00,8.920753670878511787e-01,5.769366660605012243e+00
4.903591645063855253e+00,4.559390225501050997e-01,1.062443440942712147e+00,1.206748066490823312e+01
2.027287781321336357e+00,4.824128877749236821e+00,7.005516588041487136e-01,1.252216562111007470e+01
1.584840262306730807e+00,3.533063182512012901e+00,1.810592199932297142e-01,1.160249332017211721e+01
1.854590938601152095e+00,3.061567393883405153e+00,7.286613865436053494e-01,1.230085452329932139e+01
3.646506233743844305e+00,1.632940923628915186e+00,5.404568229259887335e-01,3.210787110214279316e+00
4.452780364407472824e+00,3.911000156777537207e+00,9.711619273667873031e-01,1.145350291508361096e+01
9.974991304307592177e-01,2.101797184281238629e+00,1.079519474685897595e+00,1.248168762459644299e+01
4.690329132130863776e+00,3.948857170932543070e+00,1.263277189966496739e+00,8.973151344668565343e+00
4.730376296536157987e+00,1.142794608761820846e-01,1.801423707211410319e+00,1.360421897024836468e+01
1.155335256423149826e+00,4.569961633311234728e-01,1.631163892808098481e-01,4.885328071077844392e+00
1.514625879742086623e+00,1.044970621170020930e+00,1.578546085866467052e+00,5.696838668306069664e+00
2.654227041338379056e+00,3.232510237375782136e+00,1.325564205911002436e+00,8.610278821312821407e+00
2.116752425951345273e+00,2.887916534525143408e+00,4.897567733457395267e-01,6.729025823000193363e+00
2.708119354481457020e+00,4.037237712674771828e+00,7.254674110572629786e-01,1.234855227560180602e+01
4.750826866464399334e-01,2.725882107149255607e+00,3.443454499150511161e-02,6.584789117139716597e-01
4.356518208818985549e+00,3.358983247554695684e+00,1.053296715780469350e+00,1.150687803784783902e+01
4.064225254334533410e+00,1.019718585538913480e+00,6.639580271399347922e-01,1.090545623036076073e+01
3.970424217386829824e+00,1.548708794937937006e+00,1.331561955671565656e+00,1.389982252964476750e+01
3.502277305795772566e+00,4.635944627675326224e+00,6.542048089567178426e-01,3.589463147685520994e+00
7.191284300086483450e-01,8.446464442665975181e-01,5.472823945376539267e-01,1.090072723708746061e+01
2.364373259733587584e+00,4.049896441104025691e+00,5.088705704291256460e-01,3.463934340347261553e+00
8.146145595806589257e-02,4.675737034697190708e+00,6.307276423254468689e-01,3.897125132967483196e+00
1.538371640164290177e+00,1.404015108465868744e+00,2.290662584496685472e-01,5.640218845603160780e+00
1.990790391754945654e+00,4.456923689677103617e+00,1.456712499409330119e+00,6.485196193309317181e-01
1.038688127495095648e+00,3.463933636290075779e-01,1.210861774940068081e+00,8.412883119846355839e+00
1.867407070412647752e+00,2.852468873948510897e+00,1.837833356266991514e+00,1.251647399106389891e+01
1.992210357574832225e+00,2.434418262435418701e+00,1.367420962844254406e+00,1.409368139106184614e+01
1.355744519233423651e+00,4.178860011840041189e+00,3.455992130401495110e-01,1.098078136967190588e+01
2.787939748777024107e+00,6.803071344696409728e-01,1.295513637779162064e+00,1.438202279272352690e+01
2.865537544636485467e+00,3.828650366032070096e+00,9.432698332617361903e-01,1.100087271262739641e+01
4.753592346034080762e+00,4.962364722258844729e+00,9.468368210663664630e-01,8.956334472801948721e+00
8.221470543340086978e-01,3.941266316348138954e+00,4.779030779949995367e-01,1.131666389153144792e+01
4.274003215430004055e+00,1.252573439011493150e-01,8.850545072411453162e-03,8.697046845443100693e+00
2.679832836920619688e+00,3.740518505755181522e+00,1.941912556059279371e+00,1.435215851691898914e+00
1.597998451625787020e+00,4.809163141847153433e+00,1.393608272106226398e+00,8.310509596800824683e-01
2.815368733507388477e+00,2.932482626622793909e+00,1.965444873414812665e+00,4.214866974467925687e+00
2.937888586372166433e+00,1.171052447666405039e+00,2.823461041111079428e-01,6.399902209371632900e-01
3.486211314302672948e-02,3.523773824948698064e+00,1.632656229557541305e+00,4.660825203941362460e+00
2.754852365800712022e+00,1.228668586713473232e+00,1.275983368480017699e+00,2.990686473470078877e+00
4.573487477278752600e+00,3.328096432055844822e+00,5.474401115998497325e-01,4.585882954151188073e-03
4.611561972066968274e+00,3.883317621073239856e+00,5.832534844364953841e-01,5.796978388874681976e+00
2.330051292463613422e+00,1.172847596644369439e+00,2.568505139737768950e-01,2.703723069061244821e+00
4.956627152544400339e+00,4.841098216523760378e+00,1.193463487780177745e+00,1.395080677384943435e+01
3.307417367553276755e+00,1.427602246893937998e+00,4.493564308014457165e-01,1.304297798351741733e+01
1.045149579882868718e+00,2.108804801380226301e+00,1.458417522626891394e-01,8.938784696709907607e+00
4.178000460831513330e+00,4.473113569403397438e-01,6.778519880922051488e-01,1.223945306759948437e+01
4.030264350186801181e+00,2.802605803754424363e-01,2.396210434033552161e-01,1.330106614752508065e+01
4.747753261436495897e+00,3.809786866072982114e+00,6.369542067099835947e-01,3.132643262683679097e+00
2.881320585083734453e+00,4.012567846212019340e+00,1.050195589304490085e-01,6.301438238789923929e+00
9.011581964173769332e-01,4.856049871420805353e+00,1.093188468498003107e-01,9.132415452578703352e+00
2.206950192786250486e+00,2.180237789797949688e+00,1.451771701379980462e+00,6.991552568726167927e+00
4.555711336319320459e+00,1.633847061291742397e+00,9.249337546908984464e-01,4.567283858911524774e+00
1.897201744990939298e+00,2.501342678134517605e+00,6.166346321213505011e-01,1.453573916783573239e+01
3.334225826058496711e-01,2.850899992427800012e+00,7.288017038365619538e-01,6.417452256162468949e+00
9.236061989315436094e-01,2.677650152190953037e+00,5.627465218014926496e-01,6.692997048846480723e+00
4.200126576812365897e+00,4.243376429986350118e+00,1.540952271247224781e+00,5.772370265970028669e+00
1.353929663559450436e+00,2.657959558971945579e+00,6.693655100442803541e-01,9.391669280732315883e+00
4.245013524065184285e+00,7.036201360132209315e-01,3.686449544837997472e-01,1.056904591663157511e+01
2.204767527625909107e+00,1.661171781429159999e+00,5.599086907063084428e-01,2.845037878173231061e+00
4.131542700127799339e-01,1.801494650874338466e-01,1.856828974076019101e-02,6.903592664668750656e-01
3.310193610197453840e+00,4.414309119692718220e+00,4.544551866186725686e-01,6.435996365295263644e+00
3.427720422412256607e+00,7.944917132352116163e-01,6.458463236837095334e-01,1.473041556359109450e+01
3.453044923276812339e-01,4.933879217689555174e-01,1.276841795983485239e+00,2.634607182539043801e+00
4.255790261236941596e+00,1.035970181666522105e+00,5.229478304706853820e-01,1.490518321238025479e+01
6.549463188924646850e-01,2.839782831929710039e+00,7.623073665068758054e-01,2.897151925239311421e+00
3.538388153588472917e+00,4.260812049323624784e+00,1.321676219333018709e+00,1.005460325511326225e+01
5.041760752113478850e-01,3.452404735664014623e+00,6.211126962036561672e-02,5.859407619360043284e+00
3.226524909456844004e+00,2.849886899066172319e+00,2.994845017780376484e-01,8.792837597110457537e+00
2.223195990732234062e+00,1.116989357442684128e+00,1.847181481632986788e-02,9.475482575369248650e+00
8.472209234005898537e-01,2.053229782427240746e+00,1.733328372801131501e+00,6.979086581091786812e-01
5.343407281235950101e-01,4.498154628935692401e+00,1.266970923022125994e+00,1.235424198118088057e+01
3.364139032342247315e+00,4.892220866012018554e+00,4.127316726898291321e-01,9.688653289070673580e+00
1.908773720766857362e+00,3.380399262926628179e+00,8.098651280235757977e-01,5.628398859842512536e+00
2.429101225768362404e+00,2.788461831355271148e+00,4.681185632268176633e-01,7.965661314764278522e+00
2.815935256827351463e+00,4.819170677761053234e-01,1.089962485179252205e-01,2.539336246727605051e+00
1.471500305012035659e+00,4.731925225783049527e+00,8.810498368056698393e-01,4.735524066428519419e+00
3.304041869813131083e+00,3.036398395693799657e+00,9.780588804415177862e-01,1.058622053888718284e+01
1.411945585958880534e+00,2.669806607372536167e+00,1.111015993271512459e+00,1.210919417938601406e+01
3.260374180895900142e+00,9.465142976091612814e-01,1.682146727183902124e+00,1.588103801040689600e+00
6.515226108467503385e-01,3.822588748140651305e+00,9.289720470208768788e-01,3.764876544107401024e+00
1.833139633027814686e+00,2.272645046808682068e+00,2.977575415801365644e-01,9.303375830485014930e+00
3.932746635952235170e+00,2.262438133029141873e+00,1.055500593983861757e+00,1.067847908366559473e+01
4.558243207615396919e+00,1.167160006219738921e+00,4.714981031320717442e-01,6.815461294203114306e+00
2.218752056531470007e+00,3.867304395956071783e+00,1.157915993725255444e+00,2.212102329079146390e-02
2.503002155349866698e+00,1.755462176195832003e+00,1.279164829402876791e-01,6.476279667437488285e+00
7.647774193413063859e-01,2.943703965020776359e+00,1.214521307652652427e+00,7.747179438661314421e+00
1.006702897742527691e-01,4.879101061407643769e+00,1.357665372256910308e+00,6.472819662881681424e+00
1.757112866840416787e+00,3.830329084034457932e+00,1.831761141583258645e+00,8.808640107688953336e+00
3.766453624193334959e-01,4.251933556018382632e+00,1.130142004376407661e+00,1.111913119875502254e+01
5.780262853990957295e-01,3.485109823222066083e+00,1.504306035659196406e+00,1.411385161749306327e+01
1.783425999935479123e+00,4.178194566873677296e+00,5.889819198897889851e-01,8.642200652906190328e+00
2.313459504189419480e+00,2.454387225528292138e+00,5.007786711458372952e-01,1.023999765815220364e+01
1.879304616052503540e+00,9.116602184873489056e-01,1.006185318431753739e-01,1.073214977949939453e+01
2.326043128597945930e+00,4.432649155919445860e+00,1.926381163346194025e+00,3.138612110742711625e+00
2.320236777956045771e+00,4.289114373853637474e-01,4.445241253594216513e-01,5.322780133062561703e+00
9.764339576798748699e-02,4.001909719190853032e+00,1.255613412415598873e+00,5.013492493620636203e+00
2.298169963072018984e-01,1.558186790124434395e+00,4.532405844032207920e-01,1.120152738294708428e+01
3.375823917495997417e+00,1.928062603616780724e+00,7.632092892040358567e-01,1.075680139715194450e+01
4.563650521559828310e-01,1.757085955406784139e+00,1.477835181726151248e+00,7.438334651921029383e+00
2.638260834136937127e+00,1.817847239573535667e+00,1.811520950780739048e+00,4.550727606877951636e+00
3.473478265590895564e+00,3.982499757681195796e+00,1.517248410636615752e+00,7.513581038247016508e+00
3.355728098436740581e+00,2.067648116333494990e+00,1.360364763484271711e+00,1.165709453092703463e+01
3.797775508001800748e+00,2.975283456350031219e+00,7.701822312565536066e-01,6.827412991056268865e+00
4.237953585273781520e+00,3.608612393520269190e+00,7.636685249226544681e-01,1.187363888896021891e+01
1.377974632682692213e-01,6.891201008104722581e-01,1.449229729498500374e+00,2.018236794810912116e+00
1.590688797234344420e+00,4.663915439189129764e+00,2.514597637321736023e-01,3.081844301094831540e+00
4.259168922517845290e-01,4.682739027945769905e+00,1.527526617407713561e+00,5.576058384468368656e-01
3.796157607836554426e+00,3.052711408754767763e+00,7.978314315036181270e-01,7.571241626450191831e+00
3.218989831574530669e+00,4.284061502285685386e+00,8.894276340856919205e-01,3.852238337374958022e-01
2.484441649535454655e+00,3.819247476526256069e+00,8.015627734451469255e-01,1.403546661657013672e+01
2.993057974839202995e+00,2.087349922405629110e-01,1.711527194715403821e+00,9.751658296323634900e+00
1.433508836486296900e+00,2.899481885220667632e+00,5.511069289190044795e-01,8.861204703408589012e+00
7.035055617791019511e-01,4.142897685845670530e+00,4.597896734431476951e-01,4.269811018453234297e+00
2.199450923265407809e+00,2.868639300614596710e+00,1.517049717461980141e-01,8.738082243060976140e+00
3.626455421827764702e+00,2.305671458384173089e+00,1.493702776887006589e+00,1.082080542433804915e+00
2.688753518207784410e+00,4.978303542166982787e+00,1.432409796279950465e+00,3.489778068828433444e+00
2.816407493766624470e-01,3.794477578152982922e+00,1.187331027225020819e+00,1.182577434140173978e+01
4.218615138731249381e+00,2.489679174417584129e+00,1.292429912053598251e+00,1.136683361644005963e+01
2.098104626352970570e+00,1.902435811971043278e-01,9.920276672366308279e-01,3.530289248711016903e+00
8.928871377843347612e-02,3.305074006309428380e+00,6.596992314740555141e-01,1.339401926586542757e+01
4.739959616965521150e+00,3.431643830112076632e+00,5.732907708114447498e-01,8.107937650430699250e+00
2.414921883267950431e+00,6.787796909957141134e-01,1.179478929464190973e+00,5.764918655822437898e+00
4.870409593924346581e+00,2.333713688581930068e+00,1.989988328159937758e+00,1.103252071172132354e+01
3.450650161342955879e+00,4.292858376414359967e+00,9.979448660100951329e-01,1.286126091720894316e+01
3.452376083382121763e+00,3.436506996411440529e+00,5.083194364226302220e-01,9.889745853227466243e-01
1.010682744366706132e+00,4.115487229385814238e+00,1.568966431473568512e-01,8.783183801564661053e+00
3.483819500800046098e-01,3.684750882271479622e+00,1.431905822167018894e+00,4.254745979457348781e+00
3.915771295264380392e+00,1.594145895657700818e+00,2.077543923056226483e-01,4.617505467190226476e+00
3.998312610004127521e+00,1.712029968379072509e+00,1.440038519338516565e+00,8.584909494839822131e+00
7.069602090443352083e-01,3.949754845487066124e+00,2.209477718425782999e-01,1.249628114749507546e+01
7.642891987302595780e-01,1.165820797371980522e+00,5.445978101649300296e-01,1.100398235748334841e+00
3.930017430419900037e+00,5.332891511034648646e-01,1.663521339283440259e-01,1.265958492937956947e+01
3.865356537650450619e+00,1.918075666035910620e+00,5.878675340738932498e-01,1.308082607680828069e+01
6.097289841705635371e-01,4.492749023988547918e+00,1.831275746699979390e+00,6.157301158388516882e+00
2.247337977747186244e+00,1.561267010154582691e+00,1.300924396997911181e-01,1.387792988277488782e+01
1.418874865739914837e+00,4.665895774930524098e+00,1.924395490474824832e+00,8.311224798580630235e+00
3.386543353188760541e+00,1.013416240463101969e+00,2.387486589498430956e-01,1.021479451886423817e+01
4.945864132262191681e+00,1.133776244764718832e+00,1.853705426987656724e+00,2.251217756718548735e-01
3.239027290056732067e+00,2.794268520169033376e+00,7.950754818427954174e-01,8.708739719333060236e+00
4.791060701466211214e+00,1.802862921277238684e+00,1.053242100750294341e+00,5.750192523191783422e+00
2.725959853625454787e+00,4.279158411440228127e-01,1.590344821518087315e+00,7.117564214401238765e+00
1.674994300672870917e+00,4.858803973251910158e+00,1.708933448052231352e+00,1.207475233212139543e+01
3.515667614166633648e+00,9.432646556800466930e-01,2.296873147204681054e-01,7.995680538308363339e+00
1.138633637056180925e+00,3.889242390526325810e+00,4.489727826982905512e-01,2.333886131677063602e+00
4.935012550384832331e+00,4.542429891731414315e+00,7.391558503661386226e-01,1.455883540027920198e+01
8.965807234324206787e-01,1.787646386543322086e+00,6.095506989569732248e-02,5.038739616586019210e+00
1.697104108831644975e+00,1.081916768479856517e+00,1.044471137883177692e+00,1.327669410482053536e+01
3.901924525411544220e-01,3.315670269313332197e-01,1.455783286076472782e+00,4.214595348272694331e+00
4.264159303433872950e+00,2.516564304349615089e+00,7.264431529496309103e-01,1.933671449673923348e+00
4.877447903399325102e-01,5.142685407986800072e-01,5.892991838759540357e-01,8.411897964401813255e+00
6.480884459322640012e-01,3.455429385660051533e+00,1.974436349587783690e+00,9.371443592593772465e+00
3.924786242891733945e+00,4.971907332179505978e+00,3.652835750813716587e-01,5.266751467925315566e+00
5.994018334994201114e-01,1.433783426498066005e+00,1.237372510387564128e+00,4.505409685992399105e+00
3.812164950168726918e+00,3.835672575516734906e+00,1.224770170765169031e+00,6.974075286630380788e+00
4.017776877353123055e+00,4.955046652259673223e+00,2.354210739752000681e-01,1.393437804851270112e+00
3.936526847253757566e+00,1.846782076976430709e+00,4.151950202098757536e-01,1.405202991275670144e+01
2.187241158387450035e+00,4.006353380993767921e+00,1.938829585893977470e+00,1.170325997594198064e+01
3.316890227581983819e+00,1.969903075802846848e+00,4.672771953999674821e-01,5.124615800982754266e+00
3.231208881256840915e+00,4.100755802307398667e+00,1.034844761654681644e+00,2.412243585817946956e-01
2.582520005078484449e+00,3.038772788723857143e+00,1.759286097879900534e+00,1.112780806750756923e+01
2.751677594856631881e+00,2.465816451866292169e+00,1.322584249147731317e-01,4.911122460359361952e+00
2.546107997236640941e+00,3.856461817959691007e+00,8.856968304266557013e-01,9.044245086928910382e+00
4.564467165788147263e+00,6.293520078404788443e-01,1.560902616157888723e-01,8.225621308914886853e+00
3.558698202684113188e+00,2.874361843408612671e+00,7.350333702881044484e-01,3.792398098213979551e+00
3.509821497035818361e+00,3.759352189804914257e+00,6.445019809620129436e-01,1.090001884822312661e+01
3.697320307884120805e+00,2.757832367511588334e+00,5.570247277438802325e-01,7.571631511325781716e+00
4.744631664930694104e-01,9.333098714457901401e-01,1.222856406732531154e+00,1.697032275700901538e+00
3.695026506785279996e-01,1.580934980941980150e+00,4.886265721045601751e-02,3.026052237587996796e+00
3.671626070379878204e+00,4.653543888764193781e+00,3.479799370740757070e-01,2.345737630060823475e-01
4.089881453427127944e+00,2.292755029733952732e-01,1.076143110695264360e+00,9.604346766668830915e-01
3.824885542481478939e+00,4.128391285116627785e+00,6.820265732835251171e-01,5.476539296181826444e+00
1.965909595544839128e+00,4.566319925137831248e+00,1.924945880214177230e+00,8.334094725045005703e+00
3.465870430625553666e+00,3.247770077485049089e+00,8.443127424031660055e-01,4.283159922672530762e+00
3.591086982392888594e+00,3.817643485976483841e+00,1.236276480806379974e+00,4.705000793521346480e+00
2.193267257227512701e+00,1.066050752264032508e-01,1.815292703165549248e+00,7.876456710232569769e+00
2.983305061474310182e+00,3.986024426379976227e+00,9.589833017357556333e-01,1.856211027107089073e+00
4.557381005795513751e+00,1.924620002559275511e-01,5.861645808659310397e-01,1.429688897006652937e+01
1.866558096574492565e+00,1.383522503644269541e+00,1.606569123828925472e+00,6.951505735570224331e+00
3.173718378265258266e+00,1.449757975654573094e+00,6.042897977915149266e-01,2.269536160990398344e+00
1.881026702303936204e+00,4.265637787492138067e+00,5.397586031384606908e-01,8.139952844959600142e+00
3.924800173925859781e+00,4.134324071646449994e+00,5.810728422244195723e-01,7.843035408516318086e+00
2.257596110499756836e+00,1.181863854939812608e+00,1.157920416705136901e+00,6.805217484310885467e+00
1.913524658386207555e+00,3.574838106244347280e+00,1.956424791644260086e-01,5.314636827829371413e+00
3.453096420018992863e+00,4.285861491254070010e+00,1.246670886975764558e+00,1.286442441840623196e+01
1.574922537879860918e-01,2.251698733203949310e+00,4.705344458820339693e-01,1.467783177080508494e+01
2.983668611800918580e+00,4.455187952738594248e+00,1.042620279085035850e+00,1.083579128385061452e+01
4.708443134673036212e+00,2.954332091478315103e+00,1.141866923522272259e-02,1.021287150992437454e+01
2.020565575061067598e+00,4.285071207758067935e+00,1.153221352417304724e+00,4.809348624229964564e+00
1.552773058169087950e+00,1.430676838039951715e+00,1.621392489248985491e+00,9.991148369878835922e+00
3.513320340288332844e+00,2.877260193775000641e+00,8.940868811663871263e-01,8.829391925088998505e+00
1.653775297780555320e+00,4.146262541214872144e+00,1.694526746222349889e+00,1.325440263950507358e+01
4.471508574565953076e+00,4.291463297322559711e-01,1.560397220016944697e+00,1.208288507217936036e+01
4.269274168617975818e+00,2.733127141633131529e+00,1.414078875268693025e+00,3.985976350675606739e+00
1.496784374214365609e+00,4.768868618619476196e-01,1.927986969035343945e+00,1.272672070509430853e+01
1.846623508234982669e+00,2.483479356810529282e-01,7.146767220649563601e-01,1.100062703897298810e+01
1.686493461565626628e+00,2.882669735004094402e+00,1.971999496404055474e-01,8.025128802899613945e+00
2.702359454249395387e+00,1.946311821867991565e+00,1.309179868307630557e+00,7.304913536035411603e+00
5.107090849030084811e-01,3.525723635049228033e+00,7.945914360076493654e-01,1.360973709238679241e+01
1.468742695171392443e+00,2.147515447565651936e+00,4.743612777435768368e-01,3.152648336450600386e+00
3.077887711130392390e+00,1.851864731662848040e+00,6.621441880302558758e-02,8.370361529711228599e+00
3.249325206740412586e+00,5.583376568081805935e-01,4.076824770574067891e-01,9.245657118487292436e+00
8.179341714390481188e-01,2.935304814937343965e-01,2.232339139301642295e-01,3.983757205852278993e+00
3.221492051428227921e+00,2.267821553860854600e+00,1.799209557776954904e+00,6.168928151411944505e+00
3.011311514490718544e+00,3.038357293616607446e+00,1.560137099281540651e+00,6.100087764249320976e+00
2.167198642126036745e+00,1.972284613190196323e+00,8.256090013584822529e-01,6.534379652959947826e+00
2.005923339062232635e+00,4.473502000225300534e+00,1.803375914354049536e+00,5.633873094517989344e+00
1.435537208847747825e+00,4.980230415562741264e+00,1.988335316374301831e+00,4.852934434552810039e+00
6.197950752344938419e-01,4.440590918606287296e+00,4.637019869442775555e-01,9.352289786081513512e-01
1.986774403452311155e+00,1.068503446288436853e+00,4.835506564201130786e-02,5.019379865032304266e+00
3.657882704393738416e-01,3.496940030772037300e+00,3.135998793824843478e-01,8.924824407943447113e+00
3.774146755873001524e+00,1.235819752320884923e+00,1.955129654554125906e+00,1.077451692640334002e+01
4.009495180522619329e+00,3.822942020206219649e+00,1.595982963625794504e+00,8.449773706678294971e+00
1.703038527242570099e+00,1.061558401323179579e+00,7.258393446355364542e-01,3.455319038134143650e+00
4.724538829275179985e+00,7.113025623538853370e-01,4.592872498875935072e-01,8.863770560155055378e+00
3.011954631700518359e+00,1.620394194722097891e+00,1.979100355192790373e+00,1.056583066145946148e+01
3.294465906177344028e-01,2.606406702717015689e-01,1.977795663781331648e+00,2.880992178187807617e+00
2.950982899853829888e+00,1.376206637481048434e+00,1.186076609430390061e+00,3.558787105641763482e+00
1.831708152647099075e+00,5.027710224529241545e-01,1.386731441200434789e+00,1.397569451666638329e+01
2.625693887448790065e+00,1.022257373341825648e+00,1.700714803400720454e+00,1.222433232844812423e+01
1.208096335861001736e+00,4.314517420291244854e+00,1.116724300651479540e+00,1.730910665920462055e+00
3.176887352791771257e-01,1.426950558489887388e+00,5.900775234422581672e-01,1.011154426042332943e+01
1.578817176458153559e+00,4.975084087810469846e+00,1.655164763995500277e-01,3.945253177617730866e+00
2.298392980449689205e+00,2.333650776246352532e+00,8.496448034385517545e-02,9.498215964006137213e+00
2.550796194393732730e+00,1.241283214599061324e+00,4.859187470115422514e-02,1.289809381738969485e+01
3.241403792027112818e+00,4.621947292614731140e+00,4.777670955910728878e-01,9.793265797560636088e+00
4.931410672532542172e+00,3.666089701919863941e+00,1.430628425018545258e+00,3.186629697644562942e+00
5.477528501223275503e-01,4.365449773344946216e+00,1.634464423460799676e+00,1.202159654555235946e+01
7.465162040792590048e-01,4.990357766755786351e+00,1.455012639810509434e+00,3.172277347633559508e+00
3.917834969286147384e+00,2.853052468728710656e-01,9.993394279030054506e-02,3.851908701296431481e+00
3.307415207124017265e+00,2.733151457079139757e+00,2.131061198995296557e-01,7.448223484239767878e+00
2.303255040757171912e+00,5.622108685030030584e-01,9.103223581801336284e-01,1.167948203412491637e+01
3.018320187750497263e-01,1.496308238197535667e+00,9.346733563838616199e-01,1.849092026348735818e+00
1.163901789046301483e+00,4.097201781031514223e-01,9.400065218811668455e-01,3.358667279961554009e+00
2.042508827621591916e+00,2.561544284800320703e+00,1.739645868618819868e-01,3.908954464747968593e+00
4.343253970615332804e+00,3.216135811580309145e+00,2.423770201860819817e-01,1.080818294237601229e+01
5.925371959386845910e-01,1.779962012458333076e+00,5.655096608453111795e-01,1.347093742322822507e+01
2.804448073830726251e+00,5.998427032634194855e-01,8.632766417860564534e-01,1.222253346556736808e+01
3.920217343106562891e-01,2.110525920734598770e+00,1.924670251059972248e+00,1.294870561552811417e+01
4.141535701516352308e-01,3.639159933490096588e+00,1.625838434287789180e+00,1.468228114085120772e+01
3.969717260535330361e-01,1.372334460322585992e+00,9.341909155735308445e-01,7.813831809041912990e+00
1.855009897162646637e-01,4.345455324913086059e+00,4.917111837564200894e-01,8.170450337098062121e+00
5.429804012236513766e-02,3.567570173566920300e+00,1.979572040580584780e+00,1.128843445938312939e+01
4.252295263372112721e+00,4.585253862837694427e+00,1.833931655240175207e+00,8.580020607792778975e+00
2.558397918033177287e+00,4.637026697160782085e-01,3.157528685275792224e-01,2.628461416953197904e+00
3.960863381193550303e+00,1.278978183671572344e+00,1.195905078659929677e+00,9.066183424570796845e+00
4.523429709490478068e+00,3.914187679291832644e+00,5.017332612433853534e-01,5.506152046661800803e+00
3.505907970277069463e+00,2.476614002715140372e-01,8.849697499906385989e-01,4.690406084956319610e+00
3.974382229518072851e+00,5.601887519576651542e-01,7.657168960634064270e-02,6.123416118517447160e+00
4.344162126191295492e+00,4.681404744400457396e+00,1.098717840553236069e+00,7.108443846749866957e+00
4.114478388190089930e+00,3.821956482679019551e+00,3.070949208406714703e-01,6.974689327571426567e+00
1.067621980682668115e+00,4.676772253998628948e+00,1.578683758893774103e+00,1.115195507170083644e+01
4.553975208293394417e+00,1.183504590659413269e+00,7.695590176860809262e-01,9.872025533352404736e+00
1.881092667237158622e+00,2.169722244933668609e+00,6.819760635206351118e-01,8.994474756468640919e+00
2.574235296566064868e+00,1.200501892800934223e-01,6.244802424977557997e-02,4.636644926110416343e+00
4.655285777835235450e+00,3.440149141017235124e+00,1.508841894441244502e+00,1.422786756149281651e+01
